Litologia     codigo      prof  dens       gama       rho        vel
dolomita        2         146   2.68E+00   8.73E+00   3.27E+03   6.06E+00
dolomita        2         147   2.69E+00   8.87E+00   4.02E+03   5.95E+00
dolomita        2         148   2.69E+00   8.77E+00   3.52E+03   5.65E+00
dolomita        2         149   2.71E+00   8.11E+00   3.25E+03   5.96E+00
dolomita        2         150   2.72E+00   7.31E+00   3.14E+03   5.97E+00
dolomita        2         151   2.79E+00   8.02E+00   3.24E+03   5.79E+00
dolomita        2         152   2.78E+00   8.35E+00   3.26E+03   6.17E+00
dolomita        2         153   2.76E+00   8.13E+00   3.53E+03   6.01E+00
dolomita        2         154   2.69E+00   8.04E+00   3.69E+03   6.22E+00
dolomita        2         155   2.66E+00   8.64E+00   3.86E+03   5.60E+00
dolomita        2         156   2.69E+00   8.36E+00   3.56E+03   6.33E+00
dolomita        2         157   2.70E+00   8.45E+00   3.32E+03   5.59E+00
dolomita        2         158   2.68E+00   7.82E+00   3.35E+03   6.39E+00
dolomita        2         159   2.74E+00   7.76E+00   3.25E+03   6.44E+00
conglomerado    4         160   2.28E+00   1.02E+02   6.41E+03   2.21E+00
conglomerado    4         161   2.28E+00   1.01E+02   5.41E+03   1.96E+00
conglomerado    4         162   2.31E+00   9.88E+01   5.71E+03   1.83E+00
conglomerado    4         163   2.32E+00   1.02E+02   5.60E+03   1.97E+00
conglomerado    4         164   2.31E+00   9.32E+01   6.16E+03   1.84E+00
conglomerado    4         165   2.28E+00   9.02E+01   5.55E+03   2.10E+00
conglomerado    4         166   2.32E+00   1.05E+02   6.31E+03   2.14E+00
conglomerado    4         167   2.36E+00   9.78E+01   6.24E+03   2.06E+00
conglomerado    4         168   2.26E+00   1.10E+02   5.68E+03   1.92E+00
conglomerado    4         169   2.30E+00   9.68E+01   5.70E+03   2.00E+00
conglomerado    4         170   2.31E+00   9.71E+01   5.95E+03   2.01E+00
conglomerado    4         171   2.28E+00   9.32E+01   5.62E+03   1.80E+00
conglomerado    4         172   2.32E+00   9.56E+01   6.05E+03   2.07E+00
conglomerado    4         173   2.31E+00   9.99E+01   5.57E+03   2.09E+00
conglomerado    4         174   2.27E+00   9.78E+01   6.25E+03   1.92E+00
conglomerado    4         175   2.32E+00   8.46E+01   6.02E+03   2.02E+00
conglomerado    4         176   2.29E+00   9.52E+01   5.80E+03   2.10E+00
conglomerado    4         177   2.27E+00   1.06E+02   6.41E+03   2.31E+00
conglomerado    4         178   2.28E+00   1.05E+02   6.67E+03   2.18E+00
conglomerado    4         179   2.24E+00   9.71E+01   5.93E+03   2.23E+00
conglomerado    4         180   2.34E+00   9.04E+01   5.96E+03   1.97E+00
conglomerado    4         181   2.29E+00   1.00E+02   5.82E+03   1.82E+00
conglomerado    4         182   2.27E+00   9.82E+01   6.66E+03   1.96E+00
conglomerado    4         183   2.32E+00   1.14E+02   6.12E+03   2.22E+00
conglomerado    4         184   2.29E+00   1.04E+02   5.48E+03   2.12E+00
conglomerado    4         185   2.31E+00   9.37E+01   6.19E+03   1.96E+00
conglomerado    4         186   2.28E+00   1.02E+02   6.16E+03   2.14E+00
conglomerado    4         187   2.27E+00   1.01E+02   6.04E+03   1.95E+00
conglomerado    4         188   2.27E+00   9.59E+01   5.94E+03   1.72E+00
conglomerado    4         189   2.31E+00   8.78E+01   5.93E+03   1.99E+00
conglomerado    4         190   2.28E+00   8.87E+01   5.55E+03   1.98E+00
conglomerado    4         191   2.31E+00   9.82E+01   6.03E+03   2.05E+00
conglomerado    4         192   2.31E+00   1.03E+02   6.49E+03   1.88E+00
conglomerado    4         193   2.30E+00   1.09E+02   6.12E+03   1.96E+00
conglomerado    4         194   2.30E+00   1.04E+02   5.98E+03   2.04E+00
conglomerado    4         195   2.29E+00   1.06E+02   6.09E+03   2.04E+00
conglomerado    4         196   2.27E+00   1.07E+02   6.60E+03   2.15E+00
conglomerado    4         197   2.33E+00   9.76E+01   6.16E+03   2.07E+00
conglomerado    4         198   2.25E+00   9.82E+01   5.86E+03   2.00E+00
conglomerado    4         199   2.31E+00   9.91E+01   5.87E+03   2.12E+00
conglomerado    4         200   2.29E+00   9.75E+01   5.69E+03   2.03E+00
conglomerado    4         201   2.31E+00   9.77E+01   5.44E+03   1.96E+00
conglomerado    4         202   2.33E+00   9.81E+01   5.59E+03   1.93E+00
conglomerado    4         203   2.28E+00   9.76E+01   6.72E+03   1.88E+00
conglomerado    4         204   2.31E+00   9.46E+01   5.88E+03   1.85E+00
conglomerado    4         205   2.31E+00   1.04E+02   6.36E+03   2.04E+00
conglomerado    4         206   2.28E+00   9.74E+01   6.24E+03   2.19E+00
conglomerado    4         207   2.29E+00   1.04E+02   6.09E+03   1.95E+00
conglomerado    4         208   2.29E+00   1.01E+02   5.74E+03   2.08E+00
conglomerado    4         209   2.32E+00   9.81E+01   6.03E+03   1.88E+00
conglomerado    4         210   2.31E+00   1.02E+02   6.15E+03   2.17E+00
conglomerado    4         211   2.27E+00   9.59E+01   5.88E+03   1.65E+00
conglomerado    4         212   2.36E+00   1.01E+02   6.20E+03   1.68E+00
conglomerado    4         213   2.27E+00   1.06E+02   6.07E+03   2.09E+00
conglomerado    4         214   2.31E+00   1.03E+02   6.08E+03   2.06E+00
conglomerado    4         215   2.31E+00   9.89E+01   6.20E+03   2.03E+00
conglomerado    4         216   2.33E+00   9.66E+01   5.78E+03   1.97E+00
conglomerado    4         217   2.32E+00   8.85E+01   5.97E+03   1.92E+00
conglomerado    4         218   2.28E+00   9.47E+01   6.00E+03   1.96E+00
conglomerado    4         219   2.32E+00   9.98E+01   5.54E+03   2.01E+00
conglomerado    4         220   2.32E+00   9.92E+01   6.08E+03   2.15E+00
conglomerado    4         221   2.29E+00   1.01E+02   6.48E+03   1.95E+00
conglomerado    4         222   2.32E+00   1.01E+02   5.75E+03   2.04E+00
conglomerado    4         223   2.26E+00   1.09E+02   6.37E+03   2.07E+00
conglomerado    4         224   2.29E+00   1.02E+02   6.33E+03   2.04E+00
conglomerado    4         225   2.29E+00   1.06E+02   6.31E+03   1.99E+00
conglomerado    4         226   2.29E+00   1.03E+02   5.76E+03   2.12E+00
conglomerado    4         227   2.29E+00   9.49E+01   6.59E+03   2.00E+00
conglomerado    4         228   2.33E+00   1.00E+02   6.04E+03   2.13E+00
conglomerado    4         229   2.34E+00   9.74E+01   6.12E+03   2.00E+00
conglomerado    4         230   2.30E+00   1.00E+02   6.23E+03   2.06E+00
conglomerado    4         231   2.29E+00   1.07E+02   5.80E+03   2.03E+00
conglomerado    4         232   2.32E+00   9.48E+01   6.00E+03   2.07E+00
conglomerado    4         233   2.27E+00   1.04E+02   5.78E+03   1.91E+00
conglomerado    4         234   2.28E+00   9.93E+01   6.02E+03   1.98E+00
conglomerado    4         235   2.32E+00   1.02E+02   5.62E+03   1.94E+00
conglomerado    4         236   2.32E+00   1.04E+02   6.21E+03   1.87E+00
conglomerado    4         237   2.31E+00   1.06E+02   6.28E+03   1.92E+00
conglomerado    4         238   2.28E+00   1.01E+02   6.15E+03   2.11E+00
conglomerado    4         239   2.29E+00   1.02E+02   6.15E+03   2.01E+00
conglomerado    4         240   2.28E+00   9.72E+01   6.22E+03   1.99E+00
conglomerado    4         241   2.28E+00   9.99E+01   6.39E+03   1.94E+00
conglomerado    4         242   2.32E+00   1.05E+02   5.98E+03   2.13E+00
conglomerado    4         243   2.28E+00   9.98E+01   6.03E+03   2.24E+00
conglomerado    4         244   2.31E+00   1.03E+02   6.02E+03   1.94E+00
conglomerado    4         245   2.24E+00   9.26E+01   6.15E+03   2.01E+00
conglomerado    4         246   2.27E+00   1.11E+02   6.36E+03   1.96E+00
conglomerado    4         247   2.32E+00   1.06E+02   5.57E+03   2.01E+00
conglomerado    4         248   2.30E+00   9.72E+01   5.96E+03   2.00E+00
conglomerado    4         249   2.29E+00   9.34E+01   6.21E+03   1.90E+00
conglomerado    4         250   2.26E+00   9.94E+01   5.64E+03   1.91E+00
conglomerado    4         251   2.31E+00   1.00E+02   5.63E+03   2.10E+00
conglomerado    4         252   2.33E+00   1.09E+02   6.30E+03   2.14E+00
conglomerado    4         253   2.34E+00   9.87E+01   5.82E+03   1.85E+00
conglomerado    4         254   2.28E+00   1.02E+02   6.13E+03   1.99E+00
conglomerado    4         255   2.28E+00   9.90E+01   5.92E+03   1.89E+00
conglomerado    4         256   2.26E+00   1.08E+02   5.61E+03   1.95E+00
conglomerado    4         257   2.22E+00   9.49E+01   6.70E+03   2.07E+00
conglomerado    4         258   2.27E+00   1.06E+02   6.37E+03   2.16E+00
conglomerado    4         259   2.24E+00   9.90E+01   5.27E+03   2.05E+00
conglomerado    4         260   2.28E+00   9.46E+01   5.74E+03   2.16E+00
conglomerado    4         261   2.30E+00   1.06E+02   6.27E+03   1.80E+00
conglomerado    4         262   2.30E+00   9.98E+01   6.33E+03   2.01E+00
conglomerado    4         263   2.33E+00   9.04E+01   5.35E+03   2.09E+00
conglomerado    4         264   2.31E+00   9.44E+01   5.66E+03   2.00E+00
conglomerado    4         265   2.29E+00   1.08E+02   6.00E+03   2.01E+00
conglomerado    4         266   2.29E+00   1.01E+02   5.82E+03   2.04E+00
conglomerado    4         267   2.31E+00   9.07E+01   6.31E+03   2.00E+00
conglomerado    4         268   2.32E+00   1.09E+02   5.58E+03   2.10E+00
conglomerado    4         269   2.33E+00   1.03E+02   5.65E+03   1.88E+00
conglomerado    4         270   2.27E+00   9.83E+01   5.00E+03   2.02E+00
conglomerado    4         271   2.27E+00   9.80E+01   5.90E+03   2.04E+00
conglomerado    4         272   2.27E+00   1.12E+02   5.79E+03   2.12E+00
conglomerado    4         273   2.31E+00   1.06E+02   6.15E+03   2.06E+00
conglomerado    4         274   2.30E+00   1.16E+02   6.40E+03   2.01E+00
conglomerado    4         275   2.30E+00   1.07E+02   5.62E+03   1.99E+00
conglomerado    4         276   2.33E+00   9.36E+01   5.89E+03   2.11E+00
conglomerado    4         277   2.30E+00   9.36E+01   5.86E+03   2.09E+00
conglomerado    4         278   2.28E+00   1.01E+02   6.63E+03   1.91E+00
conglomerado    4         279   2.24E+00   1.02E+02   5.80E+03   1.98E+00
conglomerado    4         280   2.33E+00   9.52E+01   6.08E+03   1.92E+00
conglomerado    4         281   2.25E+00   1.02E+02   6.11E+03   2.06E+00
conglomerado    4         282   2.27E+00   1.12E+02   6.34E+03   2.00E+00
conglomerado    4         283   2.31E+00   9.79E+01   6.12E+03   2.08E+00
conglomerado    4         284   2.31E+00   1.01E+02   6.83E+03   2.04E+00
conglomerado    4         285   2.33E+00   9.43E+01   6.35E+03   1.85E+00
conglomerado    4         286   2.31E+00   9.42E+01   6.50E+03   2.00E+00
conglomerado    4         287   2.30E+00   1.02E+02   5.99E+03   1.85E+00
conglomerado    4         288   2.25E+00   9.89E+01   6.09E+03   1.89E+00
conglomerado    4         289   2.31E+00   9.69E+01   6.42E+03   1.97E+00
conglomerado    4         290   2.35E+00   9.98E+01   5.87E+03   1.98E+00
conglomerado    4         291   2.27E+00   1.02E+02   5.66E+03   1.98E+00
conglomerado    4         292   2.28E+00   1.02E+02   6.24E+03   1.87E+00
conglomerado    4         293   2.28E+00   1.05E+02   6.41E+03   2.23E+00
conglomerado    4         294   2.33E+00   1.03E+02   6.00E+03   1.96E+00
conglomerado    4         295   2.32E+00   1.00E+02   5.93E+03   1.97E+00
conglomerado    4         296   2.31E+00   1.03E+02   5.50E+03   1.97E+00
conglomerado    4         297   2.33E+00   9.07E+01   6.71E+03   2.09E+00
conglomerado    4         298   2.34E+00   1.10E+02   5.62E+03   1.86E+00
conglomerado    4         299   2.30E+00   1.03E+02   5.75E+03   1.66E+00
conglomerado    4         300   2.25E+00   1.00E+02   6.13E+03   2.08E+00
conglomerado    4         301   2.29E+00   1.06E+02   5.95E+03   2.08E+00
conglomerado    4         302   2.31E+00   1.01E+02   5.79E+03   2.16E+00
conglomerado    4         303   2.31E+00   1.02E+02   5.79E+03   2.05E+00
conglomerado    4         304   2.33E+00   9.65E+01   5.92E+03   2.11E+00
conglomerado    4         305   2.35E+00   1.08E+02   6.21E+03   2.13E+00
conglomerado    4         306   2.31E+00   1.09E+02   5.36E+03   2.09E+00
conglomerado    4         307   2.32E+00   1.08E+02   6.31E+03   1.87E+00
conglomerado    4         308   2.32E+00   1.00E+02   6.08E+03   2.03E+00
conglomerado    4         309   2.31E+00   1.06E+02   6.24E+03   1.98E+00
conglomerado    4         310   2.30E+00   1.00E+02   6.05E+03   1.97E+00
conglomerado    4         311   2.28E+00   1.06E+02   6.34E+03   2.07E+00
conglomerado    4         312   2.35E+00   9.67E+01   6.25E+03   1.98E+00
conglomerado    4         313   2.27E+00   8.88E+01   5.69E+03   2.14E+00
conglomerado    4         314   2.27E+00   1.01E+02   5.86E+03   1.94E+00
conglomerado    4         315   2.29E+00   1.07E+02   6.01E+03   2.11E+00
conglomerado    4         316   2.30E+00   1.09E+02   5.81E+03   1.86E+00
conglomerado    4         317   2.28E+00   9.52E+01   6.13E+03   2.14E+00
conglomerado    4         318   2.32E+00   1.01E+02   6.17E+03   2.03E+00
conglomerado    4         319   2.31E+00   9.59E+01   6.40E+03   2.20E+00
conglomerado    4         320   2.29E+00   1.00E+02   6.34E+03   2.04E+00
conglomerado    4         321   2.28E+00   1.08E+02   5.91E+03   2.11E+00
conglomerado    4         322   2.27E+00   1.05E+02   6.64E+03   1.98E+00
conglomerado    4         323   2.34E+00   1.01E+02   5.96E+03   1.99E+00
conglomerado    4         324   2.33E+00   1.07E+02   5.65E+03   1.98E+00
conglomerado    4         325   2.29E+00   9.95E+01   5.96E+03   2.06E+00
conglomerado    4         326   2.27E+00   1.02E+02   7.00E+03   2.04E+00
conglomerado    4         327   2.33E+00   9.95E+01   6.29E+03   2.05E+00
conglomerado    4         328   2.32E+00   1.02E+02   6.56E+03   2.13E+00
conglomerado    4         329   2.28E+00   1.00E+02   5.82E+03   1.97E+00
conglomerado    4         330   2.29E+00   9.90E+01   5.59E+03   1.92E+00
conglomerado    4         331   2.33E+00   1.00E+02   5.91E+03   2.04E+00
conglomerado    4         332   2.26E+00   9.89E+01   5.58E+03   2.08E+00
conglomerado    4         333   2.31E+00   9.60E+01   6.44E+03   1.95E+00
conglomerado    4         334   2.31E+00   9.81E+01   6.06E+03   1.93E+00
conglomerado    4         335   2.35E+00   1.06E+02   6.42E+03   2.18E+00
conglomerado    4         336   2.33E+00   8.92E+01   5.55E+03   1.91E+00
conglomerado    4         337   2.25E+00   9.71E+01   5.69E+03   1.98E+00
conglomerado    4         338   2.29E+00   1.05E+02   5.77E+03   1.90E+00
conglomerado    4         339   2.29E+00   1.01E+02   6.23E+03   1.91E+00
conglomerado    4         340   2.27E+00   9.05E+01   5.65E+03   1.90E+00
conglomerado    4         341   2.35E+00   1.01E+02   5.94E+03   1.82E+00
conglomerado    4         342   2.27E+00   1.00E+02   5.96E+03   2.13E+00
conglomerado    4         343   2.33E+00   9.77E+01   6.32E+03   1.98E+00
conglomerado    4         344   2.30E+00   9.61E+01   5.91E+03   2.04E+00
conglomerado    4         345   2.30E+00   1.05E+02   5.98E+03   1.95E+00
conglomerado    4         346   2.28E+00   1.00E+02   6.34E+03   2.03E+00
conglomerado    4         347   2.33E+00   1.11E+02   6.06E+03   1.98E+00
conglomerado    4         348   2.32E+00   1.01E+02   6.00E+03   2.07E+00
conglomerado    4         349   2.31E+00   1.05E+02   5.64E+03   1.93E+00
conglomerado    4         350   2.29E+00   1.06E+02   5.77E+03   1.77E+00
conglomerado    4         351   2.27E+00   1.04E+02   5.98E+03   1.96E+00
conglomerado    4         352   2.33E+00   9.52E+01   5.94E+03   2.08E+00
conglomerado    4         353   2.29E+00   9.94E+01   6.29E+03   1.96E+00
conglomerado    4         354   2.24E+00   9.27E+01   5.67E+03   1.91E+00
conglomerado    4         355   2.32E+00   1.03E+02   5.59E+03   1.86E+00
conglomerado    4         356   2.27E+00   8.63E+01   5.97E+03   2.13E+00
conglomerado    4         357   2.30E+00   9.88E+01   5.99E+03   1.89E+00
conglomerado    4         358   2.31E+00   1.05E+02   6.31E+03   2.08E+00
conglomerado    4         359   2.32E+00   1.02E+02   6.74E+03   1.75E+00
conglomerado    4         360   2.29E+00   9.87E+01   5.61E+03   2.03E+00
conglomerado    4         361   2.26E+00   9.91E+01   6.10E+03   2.03E+00
conglomerado    4         362   2.25E+00   1.07E+02   5.78E+03   2.11E+00
conglomerado    4         363   2.29E+00   9.84E+01   6.05E+03   1.86E+00
conglomerado    4         364   2.32E+00   1.16E+02   5.88E+03   1.79E+00
conglomerado    4         365   2.35E+00   9.32E+01   5.43E+03   2.00E+00
conglomerado    4         366   2.35E+00   1.02E+02   6.45E+03   2.00E+00
conglomerado    4         367   2.37E+00   1.07E+02   5.44E+03   1.83E+00
conglomerado    4         368   2.30E+00   1.05E+02   5.71E+03   2.34E+00
conglomerado    4         369   2.33E+00   1.04E+02   6.19E+03   2.06E+00
conglomerado    4         370   2.27E+00   1.07E+02   6.28E+03   2.10E+00
conglomerado    4         371   2.30E+00   1.09E+02   5.75E+03   2.01E+00
